X,Y,id,amenity,created_by,ref,wheelchair,source,wetap:photo,wetap:status,wetap:statusnote,note:it,description,indoor,fixme,comment:it,comment,name,note,access,comment:en
9.2334547,45.4857593,node/524320766,drinking_water,,,,,,,,,,,,,,,,,
9.2147789,45.4844581,node/528316677,drinking_water,,,,,,,,,,,,,,,,,
9.2191929,45.4710601,node/583064462,drinking_water,,,,,,,,,,,,,,,,,
9.1744335,45.4540136,node/587021322,drinking_water,,,,,,,,,,,,,,,,,
9.1857067,45.4976886,node/610284654,drinking_water,,,,,,,,,drago verde,no,,,,,,,
9.1888725,45.4985205,node/610284655,drinking_water,,,,,,,,,,,,,,,,,
9.1921302,45.4477776,node/611611641,drinking_water,,,,,,,,,,,,,,,,,
9.1856821,45.443743,node/611611642,drinking_water,,,,,,,,,,,,,,,,,
9.1706499,45.518219,node/614945434,drinking_water,,,,,,,,,,,,,,,,,
9.2131015,45.4788266,node/623050695,drinking_water,,,,,,,,,,,,,,,,,
9.1929446,45.4594749,node/635857221,drinking_water,,,,,,,,,,,,,,,,,
9.1287805,45.460094,node/639780006,drinking_water,,,,,,,,,,,,,,,,,
9.14029,45.4608905,node/639780008,drinking_water,,,,,,,,,,,,,,,,,
9.1277424,45.4651874,node/639780009,drinking_water,,,,,,,,,,,,,,,,,
9.1335323,45.4629707,node/639780011,drinking_water,,,,,,,,,,,,,,,,,
9.1419013,45.4532158,node/639780012,drinking_water,,,,,,,,,,,,,,,,,
9.14184,45.4527701,node/639780014,drinking_water,,,,,,,,,,,,,,,,,
9.1428577,45.4600021,node/639780016,drinking_water,,,,,,,,,,,,,,,,,
9.1452232,45.4703663,node/639780019,drinking_water,,,,,,,,,,,,,,,,,
9.1430898,45.47244,node/639780021,drinking_water,,,,,,,,,,,,,,,,,
9.1488498,45.47289,node/639780025,drinking_water,,,,,,,,,,,,,,,,,
9.1512971,45.4750707,node/639780028,drinking_water,,,,,,,,,,,,,,,,,
9.1438028,45.48017,node/639780032,drinking_water,,,,,,,,,,,,,,,,,
9.1440099,45.48319,node/639780034,drinking_water,,,,,,,,,,,,,,,,,
9.2025963,45.4852313,node/639780037,drinking_water,,,,,,,,,,,,,,,,,
9.2039508,45.4845436,node/639780040,drinking_water,,,,,,,,,,,,,,,,,
9.21102,45.48703,node/639780043,drinking_water,,,,,,,,,,,,,,,,,
9.220495,45.4838793,node/639780044,drinking_water,,,,,,,,,,,,,,,,,
9.2182336,45.4864327,node/639780056,drinking_water,,,,,,,,,,,,,,,,,
9.2173407,45.5114068,node/639780059,drinking_water,,,,,,,,,,,,,,,,,
9.1109893,45.4180599,node/639808212,drinking_water,,,,,,,,,,,,,,,,,
9.2397003,45.4173996,node/639808225,drinking_water,,,,,,,,,,,,,,,,,
9.2371416,45.4181578,node/639808229,drinking_water,,,,,,,,,,,,,,,,,
9.2281249,45.4623167,node/639808232,drinking_water,,,,,,,,,,,,,,,,,
9.1738334,45.4742971,node/648526275,drinking_water,,,,,,,,,,,,,,,,,
9.1359478,45.4861595,node/648626771,drinking_water,,,,,,,,,,,,,,,,,
9.1174573,45.4932035,node/649739457,drinking_water,,,,,,,,,,,,,,,,,
9.1194733,45.4899051,node/649739557,drinking_water,,,,,,,,,,,,,,,,,
9.1281414,45.486989,node/651860100,drinking_water,,,,,,,,,,,,,,,,,
9.1781836,45.4585147,node/660690372,drinking_water,,,,,,,,,,,,,,,,,
9.1415241,45.4794417,node/661209191,drinking_water,,,,,,,,,,,,,,,,,
9.1211439,45.4764269,node/661902183,drinking_water,,,,,,,,,,,,,,,,,
9.1275202,45.4758087,node/661902222,drinking_water,,,,,,,,,,,,,,,,,
9.1755999,45.4638347,node/663176947,drinking_water,,,,,,,,,,,,,,,,,
9.1817257,45.4677475,node/673971061,drinking_water,,,,,,,,,,,,,,,,,
9.1815926,45.4696405,node/673971153,drinking_water,,,,,,,,,,,check position - it is just North of the kiosk,,,,,,
9.130457,45.4898982,node/679356964,drinking_water,,,,,,,,,,,,,,,,,
9.1828699,45.4714299,node/680127423,drinking_water,,,,,,,,,,,,,,,,,
9.1264956,45.5068236,node/712682121,drinking_water,,,,,,,,,,,,,,,,,
9.2037127,45.4799926,node/718857124,drinking_water,,,,,,,,,,,,,,,,,
9.1839092,45.4535927,node/727239594,drinking_water,,01,,,,,,,,,,ref su targhetta tonda color ottone giallo scritta 010,,,,,
9.178138,45.4647298,node/800182052,drinking_water,,,,,,,,,,,,,,,,,
9.1775274,45.4448991,node/880728770,drinking_water,,,,,,,,,,,,,,,,,
9.2327895,45.5144968,node/894110825,drinking_water,,,,,,,,,,,,,,,,,
9.24962,45.49832,node/903727899,drinking_water,,,,,,,,,,,,,,,,,
9.2906166,45.5164383,node/930191689,drinking_water,,,,,,,,,,,,,,,,,
9.1984194,45.4372563,node/958617344,drinking_water,,,,,,,,,,,,,,,,,
9.0899792,45.4638237,node/983814568,drinking_water,,,,,,,,,,,,,,,,,
9.1028463,45.46028,node/983814608,drinking_water,,,,,,,,,,,,,,,,,
9.1017702,45.4610921,node/983814613,drinking_water,,,,,,,,,,,,,,,,,
9.1040876,45.4591732,node/983814614,drinking_water,,,,,,,,,,,,,,,,,
9.0990643,45.4614883,node/983814619,drinking_water,,,,,,,,,,,,,,,,,
9.1048178,45.4896653,node/990636651,drinking_water,,,,,,,,,,,,,,,,,
9.1367899,45.4652789,node/994950406,drinking_water,,,,,,,,,,,,,,,,,
9.1376833,45.4616275,node/994950474,drinking_water,,,,,,,,,,,,,,,,,
9.1076688,45.4563104,node/995634866,drinking_water,,,,,,,,,,,,,,,,,
9.1134302,45.4558325,node/995634867,drinking_water,,,,,,,,,,,,,,,,,
9.1022464,45.4630627,node/1003136488,drinking_water,,,,,,,,,,,,,,,,,
9.1332992,45.4756514,node/1009311672,drinking_water,,,,,,,,,,,,,,,,,
